scenario,baseline,run,recv,lost,loss_rate,reorder,rohc_ok,rohc_fail,raw,parse_err,avg_hdr_ratio_cloud,avg_hdr_ratio_stack,avg_hdr_ratio_tunnel,avg_total_ratio_cloud,e2e_latency_ms_avg,e2e_latency_ms_p95,e2e_latency_ms_p99,e2e_latency_samples,packet_count,rohc_raw_packets,rohc_ok_packets,rohc_mode_change_count,rohc_mode_change_rate,sid_avg,sid_change_count,sid_change_rate,seq_recv,seq_expected,seq_lost,seq_loss_rate,seq_reorder_count,seq_reorder_rate,seq_flow_count,seq_reorder_rate_flow_mean,seq_reorder_rate_flow_max,recv_stats,lost_stats,loss_rate_stats,loss_rate_true_stats,loss_rate_eff_stats,loss_rate_stats_last,loss_rate_true_stats_last,loss_rate_eff_stats_last,rohc_parse_fail_rate,policy_eval,policy_param_change,policy_sid_change,policy_param_rate,policy_sid_rate,gw_hdr_ratio_avg,gw_total_ratio_avg,gw_samples,gw_hdr_ratio_tail_avg,gw_total_ratio_tail_avg,gw_samples_tail
S2,B1,1,892,7,0.778642936596218,2,0,0,879,0,0.0,,,0.0,30.014444444444443,39.3525,40.0965,936,892,892,0,0,0.0,,0,,892,899,7,0.778642936596218,2,0.2242152466367713,5,0.0,0.0,880,9,0.9131818181818182,0.5663636363636364,1.0627272727272727,1.01,0.79,0.9,0.0,800,0,0,0.0,0.0,,,,,,
S2,B1,2,892,6,0.6681514476614699,1,0,0,879,0,0.0,,,0.0,30.143792735042734,39.13,39.999,936,892,892,0,0,0.0,,0,,892,898,6,0.6681514476614699,1,0.11210762331838565,5,0.0,0.0,880,7,0.5729545454545455,0.44613636363636366,0.9429545454545455,0.79,0.68,0.79,0.0,800,0,0,0.0,0.0,,,,,,
S2,B1,3,891,8,0.8898776418242491,2,0,0,879,0,0.0,,,0.0,30.488117647058825,39.47,40.0066,935,891,891,0,0,0.0,,0,,891,899,8,0.8898776418242491,2,0.2244668911335578,5,0.0,0.0,880,10,0.6925,0.5786363636363636,1.0745454545454545,1.12,0.9,1.01,0.0,800,0,0,0.0,0.0,,,,,,
S2,B2,1,899,5,0.5530973451327433,0,0,0,879,0,0.0,,,0.0,30.09744432661718,39.196,40.040600000000005,943,899,899,0,0,0.0,1.0,0,0.0,899,904,5,0.5530973451327433,0,0.0,5,0.0,0.0,880,5,0.6236363636363637,0.6236363636363637,1.1193181818181819,0.56,0.56,0.68,0.0,800,0,0,0.0,0.0,,,,,,
S2,B2,2,896,4,0.4444444444444444,2,0,0,879,0,0.0,,,0.0,30.25259574468085,39.201,40.0366,940,896,896,0,0,0.0,1.0,0,0.0,896,900,4,0.4444444444444444,2,0.22321428571428573,5,0.0,0.0,880,6,0.4440909090909091,0.3547727272727273,0.8511363636363636,0.68,0.45,0.57,0.0,800,0,0,0.0,0.0,,,,,,
S2,B2,3,886,8,0.8948545861297539,2,0,0,879,0,0.0,,,0.0,30.271451612903228,39.3655,40.0371,930,886,886,0,0,0.0,1.0,0,0.0,886,894,8,0.8948545861297539,2,0.22573363431151242,5,0.0,0.0,880,10,0.9206818181818182,0.7818181818181819,1.2761363636363636,1.12,0.9,1.01,0.0,800,0,0,0.0,0.0,,,,,,
S2,B3,1,896,7,0.7751937984496124,1,879,0,0,0,84.05,89.60700462482535,74.06987295451624,65.7909090909091,30.145574468085105,39.153,39.8983,940,896,0,896,0,0.0,1.0,0,0.0,896,903,7,0.7751937984496124,1,0.11160714285714286,5,0.0,0.0,880,8,1.326818181818182,1.1429545454545456,1.6290909090909091,0.9,0.79,0.9,0.0,800,0,0,0.0,0.0,87.0532668881506,68.12358803986712,903,88.3,69.08800000000001,50
S2,B3,2,889,6,0.6703910614525139,1,879,0,0,0,83.91136363636363,89.65597332114729,74.11031349272882,65.68181818181819,30.400010718113613,39.49,40.1868,933,889,0,889,0,0.0,1.0,0,0.0,889,895,6,0.6703910614525139,1,0.1124859392575928,5,0.0,0.0,880,7,0.5038636363636364,0.36227272727272725,0.8577272727272727,0.79,0.68,0.79,0.0,800,0,0,0.0,0.0,87.23564245810056,68.27418994413408,895,88.3,69.12400000000001,50
S2,B3,3,892,6,0.6681514476614699,2,879,0,0,0,83.82954545454545,89.63231137029388,74.09071666693376,65.61590909090908,30.070384615384615,39.325,40.073,936,892,0,892,0,0.0,1.0,0,0.0,892,898,6,0.6681514476614699,2,0.2242152466367713,5,0.0,0.0,880,8,0.6893181818181818,0.42863636363636365,0.9254545454545454,0.9,0.68,0.79,0.0,800,0,0,0.0,0.0,87.14276169265032,68.1988864142539,898,88.3,69.08800000000001,50
S2,B4,1,900,1,0.11098779134295228,0,899,0,0,0,83.89111111111112,89.6035455837992,74.06694146619166,65.65555555555555,30.31437037037037,38.955999999999996,40.135600000000004,945,900,0,900,0,0.0,1.0,0,0.0,900,901,1,0.11098779134295228,0,0.0,5,0.0,0.0,900,1,0.11933333333333333,0.11933333333333333,0.6068888888888889,0.11,0.11,0.22,0.0,800,0,0,0.0,0.0,87.14661487236404,68.19789123196449,901,88.3,69.08800000000001,50
