p,p_percent,accept_prob,reject_prob,inconclusive_prob
0.056,5.6000000000000005,0.9732727564227317,1.5677124562698979e-07,0.026727086806022673
0.057,5.7,0.9673343713090137,2.594064740116521e-07,0.032665369284512316
0.058,5.800000000000001,0.9604332210561792,4.2298200788213036e-07,0.039566355961812884
0.059,5.8999999999999995,0.9524862100496342,6.799948760548482e-07,0.04751310995548976
0.06,6.0,0.9434154472214024,1.0782941217047095e-06,0.05658347448447593
0.061,6.1,0.9331503396541313,1.6873757566778236e-06,0.06684797297011202
0.062,6.2,0.9216296383757627,2.6068440365569956e-06,0.07836775478020072
0.063,6.3,0.908803366350265,3.977625308219235e-06,0.09119265602442674
0.064,6.4,0.8946345610702042,5.9966254804674635e-06,0.1053594423043153
0.065,6.5,0.8791007695936569,8.935629290081384e-06,0.12089029477705301
0.066,6.6000000000000005,0.8621952420322191,1.3165343590219397e-05,0.1377915926241907
0.067,6.7,0.8439277799763419,1.9185581024348907e-05,0.15605303444263371
0.068,6.800000000000001,0.824325208575892,2.7662656414999047e-05,0.17564712876769303
0.069,6.9,0.8034314543790142,3.947511652079877e-05,0.196529070504465
0.07,7.000000000000001,0.7813072248998989,5.5768934118203184e-05,0.2186370061659829
0.071,7.1,0.7580292996054455,7.802325881149405e-05,0.241892677135743
0.072,7.199999999999999,0.7336894549557432,0.00010812771885934846,0.2662024173253974
0.073,7.3,0.7083930577831328,0.0001484721007517731,0.2914584701161155
0.074,7.3999999999999995,0.6822573711910984,0.00020204898801558794,0.317540579820886
0.075,7.5,0.6554096249785143,0.00027256961195832046,0.3443178054095274
0.076,7.6,0.6279849081280353,0.0003645927522429497,0.37165049911972176
0.077,7.7,0.600123944054213,0.0004836660258227987,0.39939238991996423
0.078,7.8,0.5719708101125702,0.0006364783250354519,0.42739271156239433
0.079,7.9,0.5436706614558902,0.0008310215208567948,0.45549831702325305
0.08,8.0,0.5153675159075322,0.0010767588520746887,0.48355572524039314
0.081,8.1,0.48720215139125084,0.0013847966973117585,0.5114130519114375
0.082,8.200000000000001,0.4593101609493438,0.001768055701083187,0.5389217833495731
0.083,8.3,0.4318202028596919,0.0022414365281626858,0.5659383606121454
0.084,8.4,0.404852475199068,0.0028219748861876594,0.5923255499147444
0.085,8.5,0.3785174357561064,0.003528979920028019,0.6179535843238656
0.086,8.6,0.35291477980826563,0.004384149678353442,0.6427010705133809
0.087,8.7,0.32813268024062614,0.005411657116680204,0.6664556626426936
0.088,8.799999999999999,0.30424728705184684,0.00663820006196929,0.6891145128861839
0.089,8.9,0.28132247666324006,0.008093008746152241,0.7105845145906077
0.09,9.0,0.2594098357656677,0.009807804937219944,0.7307823592971123
0.091,9.1,0.23854885979717788,0.011816707365576103,0.7496344328372461
0.092,9.2,0.21876734258281466,0.014156079059396852,0.7670765783577884
0.093,9.3,0.2000819311815879,0.01686431335449671,0.7830537554639154
0.094,9.4,0.18249881853005218,0.019981556709833488,0.7975196247601143
0.095,9.5,0.16601454597032905,0.023549368007090888,0.8104360860225801
0.096,9.6,0.15061688810150664,0.02761031570007706,0.8217727961984163
