p,accept_prob,reject_prob,inconclusive_prob
0.052,0.9891295687179669,1.7862099923134192e-08,0.01087041341993321
0.053,0.9861774966727513,3.151698894281887e-08,0.013822471810259716
0.054,0.9826072903285834,5.4675784215272176e-08,0.01739265499563238
0.055,0.9783346043993078,9.331493079763314e-08,0.021665302285761454
0.056,0.9732727564227317,1.5677124562698979e-07,0.026727086806022673
0.057,0.9673343713090137,2.594064740116521e-07,0.032665369284512316
0.058,0.9604332210561792,4.2298200788213036e-07,0.039566355961812884
0.059,0.9524862100496342,6.799948760548482e-07,0.04751310995548976
0.06,0.9434154472214024,1.0782941217047095e-06,0.05658347448447593
0.061,0.9331503396541313,1.6873757566778236e-06,0.06684797297011202
0.062,0.9216296383757627,2.6068440365569956e-06,0.07836775478020072
0.063,0.908803366350265,3.977625308219235e-06,0.09119265602442674
0.064,0.8946345610702042,5.9966254804674635e-06,0.1053594423043153
0.065,0.8791007695936569,8.935629290081384e-06,0.12089029477705301
0.066,0.8621952420322191,1.3165343590219397e-05,0.1377915926241907
0.067,0.8439277799763419,1.9185581024348907e-05,0.15605303444263371
0.068,0.824325208575892,2.7662656414999047e-05,0.17564712876769303
0.069,0.8034314543790142,3.947511652079877e-05,0.196529070504465
0.07,0.7813072248998989,5.5768934118203184e-05,0.2186370061659829
0.071,0.7580292996054455,7.802325881149405e-05,0.241892677135743
0.072,0.7336894549557432,0.00010812771885934846,0.2662024173253974
0.073,0.7083930577831328,0.0001484721007517731,0.2914584701161155
0.074,0.6822573711910984,0.00020204898801558794,0.317540579820886
0.075,0.6554096249785143,0.00027256961195832046,0.3443178054095274
0.076,0.6279849081280353,0.0003645927522429497,0.37165049911972176
0.077,0.600123944054213,0.0004836660258227987,0.39939238991996423
0.078,0.5719708101125702,0.0006364783250354519,0.42739271156239433
0.079,0.5436706614558902,0.0008310215208567948,0.45549831702325305
0.08,0.5153675159075322,0.0010767588520746887,0.48355572524039314
0.081,0.48720215139125084,0.0013847966973117585,0.5114130519114375
0.082,0.4593101609493438,0.001768055701083187,0.5389217833495731
0.083,0.4318202028596919,0.0022414365281626858,0.5659383606121454
0.084,0.404852475199068,0.0028219748861876594,0.5923255499147444
0.085,0.3785174357561064,0.003528979920028019,0.6179535843238656
0.086,0.35291477980826563,0.004384149678353442,0.6427010705133809
0.087,0.32813268024062614,0.005411657116680204,0.6664556626426936
0.088,0.30424728705184684,0.00663820006196929,0.6891145128861839
0.089,0.28132247666324006,0.008093008746152241,0.7105845145906077
0.09,0.2594098357656677,0.009807804937219944,0.7307823592971123
0.091,0.23854885979717788,0.011816707365576103,0.7496344328372461
0.092,0.21876734258281466,0.014156079059396852,0.7670765783577884
0.093,0.2000819311815879,0.01686431335449671,0.7830537554639154
0.094,0.18249881853005218,0.019981556709833488,0.7975196247601143
0.095,0.16601454597032905,0.023549368007090888,0.8104360860225801
0.096,0.15061688810150664,0.02761031570007706,0.8217727961984163
0.097,0.13628579347838185,0.03220751595706304,0.8315066905645551
0.098,0.12299435637190925,0.03738411675035233,0.8396215268777384
0.099,0.11070979696910489,0.043182734631676184,0.8461074683992189
0.1,0.09939442989639095,0.0496448526269379,0.8509607174766712
0.101,0.08900660367591402,0.05681018922752941,0.8541832070965565
0.102,0.07950159655611902,0.06471604978929611,0.8557823536545849
0.103,0.07083245699572473,0.07339667272140636,0.8557708702828689
0.104,0.06295077983882436,0.08288258361108453,0.8541666365500911
0.105,0.055807411828239256,0.09319997085157032,0.8509926173201905
0.106,0.04935308251019306,0.10437009639648674,0.8462768210933201
0.107,0.043538958746591284,0.11640875494334865,0.84005228631006
0.108,0.038317122946338794,0.12932579415455456,0.8323570828991066
0.109,0.03364097674147119,0.1431247074712533,0.8232343157872756
0.11,0.029465573165554336,0.15780230969184258,0.8127321171426031
0.111,0.025747881448071462,0.1733485038115871,0.8009036147403414
