sample_size,case_id,nominal_best_strategy,robust_best_strategy,strategy_change_type,nominal_best_profit_at_point,nominal_strategy_worst_profit,robust_strategy_worst_profit,worst_profit_gain,robust_profit_cost_at_point
100,5,"(0,1,0,0)","(1,1,0,1)",strict_switch,11.987654320987659,-3.0090794393389046,4.11043778213601,7.119517221474915,1.40432098765433
368,5,"(0,1,0,0)","(1,1,0,1)",strict_switch,11.882422161329458,5.475228954792527,7.619111773190859,2.143882818398332,1.3535568387829002
400,5,"(0,1,0,0)","(1,1,0,1)",strict_switch,11.987654320987659,5.9263044061540455,7.821781458175934,1.8954770520218887,1.40432098765433
1000,5,"(0,1,0,0)","(1,1,0,1)",strict_switch,11.987654320987659,8.430231136328075,8.934866713187034,0.5046355768589592,1.40432098765433
100,6,"(0,0,0,0)","(1,0,0,0)",strict_switch,21.6786703601108,11.578530269798463,14.208500751724152,2.629970481925689,0.34990523399912377
368,6,"(0,0,0,0)","(1,0,0,0)",strict_switch,21.830455603509066,17.799074105258356,18.548644668534024,0.7495705632756682,0.3916635801576547
400,6,"(0,0,0,0)","(1,0,0,0)",strict_switch,21.6786703601108,17.804871375368137,18.552754596715708,0.7478832213475712,0.34990523399912377
1000,6,"(0,0,0,0)","(1,0,0,0)",strict_switch,21.6786703601108,19.452859516487685,19.726356536516967,0.2734970200292821,0.34990523399912377
